,finalist,variable,value
133,Kween Kong_AUS_2_REG,1,1.0
134,Spankie Jackzon_AUS_2_REG,1,0.0
135,Eva Le Queen_PH_1_REG,1,3.0
136,Marina Summers_PH_1_REG,1,3.0
137,Precious Paula Nicole_PH_1_REG,1,2.0
138,Xilhouete_PH_1_REG,1,1.0
139,Black Peppa_UK_4_REG,1,5.0
140,Cheddar Gorgeous_UK_4_REG,1,2.0
141,Danny Beard_UK_4_REG,1,2.0
142,Jonbers Blonde_UK_4_REG,1,2.0
143,La Diamond_ITA_2_REG,1,5.0
144,Aura Etherial_ITA_2_REG,1,1.0
145,Nehllenia_ITA_2_REG,1,2.0
146,Ra'jah O'Hara_CAN_1_WORLD,1,3.0
147,Rita Baga_CAN_1_WORLD,1,4.0
148,Silky Nutmeg Ganache_CAN_1_WORLD,1,2.0
149,Victoria Scone_CAN_1_WORLD,1,2.0
150,Anetra_US_15_REG,1,5.0
151,Luxx Noir London_US_15_REG,1,2.0
152,Mistress Isabelle Brookes_US_15_REG,1,2.0
153,Sasha Colby_US_15_REG,1,2.0
154,Athena Sorgelikis_BEL_1_REG,1,5.0
155,Drag Couenne_BEL_1_REG,1,3.0
156,Susan_BEL_1_REG,1,2.0
157,Admira Thunderpussy_SWE_1_REG,1,3.0
158,Fontana_SWE_1_REG,1,2.0
159,Vanity Vain_SWE_1_REG,1,2.0
160,Chad Michaels_US_1_AS,2,3.0
161,Raven_US_1_AS,2,1.0
162,Jujubee_US_1_AS,2,1.0
163,Shannel_US_1_AS,2,3.0
164,Alaska_US_2_AS,2,5.0
165,Detox_US_2_AS,2,0.0
166,Katya_US_2_AS,2,4.0
167,Roxxxy Andrews_US_2_AS,2,0.0
168,Trixie Mattel_US_3_AS,2,2.0
169,Kennedy Davenport_US_3_AS,2,0.0
170,BeBe Zahara Benet_US_3_AS,2,3.0
171,Shangela_US_3_AS,2,5.0
172,Monet X Change_US_4_AS,2,4.0
173,Trinity the Tuck_US_4_AS,2,2.0
174,Monique Heart_US_4_AS,2,0.0
175,Naomi Smalls_US_4_AS,2,3.0
176,Jujubee_US_5_AS,2,3.0
177,Shea Coulee_US_5_AS,2,5.0
178,Miz Cracker_US_5_AS,2,2.0
179,Priyanka_CAN_1_REG,2,3.0
180,Rita Baga_CAN_1_REG,2,2.0
181,Scarlett BoBo_CAN_1_REG,2,2.0
182,Envy Peru_HOL_1_REG,2,5.0
183,Janey Jacke_HOL_1_REG,2,2.0
184,Ma'Ma Queen_HOL_1_REG,2,2.0
185,Miss Abby OMG_HOL_1_REG,2,2.0
186,Natalia Pilacam_THI_1_REG,2,4.0
187,Annee Maywong_THI_1_REG,2,3.0
