Rank WRE,Rank,Country,Season,Code,W/R/E,Queen,Z-Score,Percent,Score,Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Mean: 3.11,,Bttm,Low,Safe,High,SWin,Win,LSA,T,,,
80,118,CAN_WORLD,1,CAN_WORLD_1,R,Silky Nutmeg Ganache,-0.65,10.00%,0.5,5,0,-1,2,1.5,-2,,,,,,,,,,,,,1,1,1,0,1,1,,,--,"1,072",99
5,2,CAN_WORLD,1,CAN_WORLD_1,E,Victoria Scone,0.72,120.00%,6,5,0,1,1.5,2,1.5,,,,,,,,,,,,,0,0,1,1,2,1,,,Never,203,2
83,121,US,15,US_15,R,Anetra,-0.52,7.69%,1,13,2,0,0,0,-1,1,-2,1,0,-2,2,2,-2,,,,,3,1,4,2,0,3,LSA,2,--,"1,069",102
20,66,US,15,US_15,E,Luxx Noir London,0.72,46.15%,6,13,0,1,0,2,0,0,0,0,1,2,1,-2,1,,,,,1,0,6,4,0,2,,,--,"1,140",48
22,78,US,15,US_15,E,Mistress Isabelle Brookes,0.47,38.46%,5,13,0,0,1,0,1,2,0,1,-1,1,1,1,-2,,,,,1,1,4,6,0,1,,,--,"1,128",60
33,24,US,15,US_15,W,Sasha Colby,1.96,84.62%,11,13,0,2,0,1,1,0,0,2,2,-1,1,1,2,,,,,0,1,4,4,0,4,,,--,"1,202",14
78,112,BEL,1,BEL_1,R,Athena Sorgelikis,-0.52,14.29%,1,7,2,0,0,0,-1,2,-2,,,,,,,,,,,1,1,3,0,0,2,,,--,"1,077",93
14,3,BEL,1,BEL_1,W,Drag Couenne,1.21,114.29%,8,7,1,2,0,2,0,1,2,,,,,,,,,,,0,0,2,2,0,3,,,Never,200,3
57,144,BEL,1,BEL_1,E,Susan,-1.27,-28.57%,-2,7,0,-1,2,-2,1,-1,-1,,,,,,,,,,,1,3,1,1,0,1,,,--,407,125
31,20,SWE,1,SWE_1,W,Admira Thunderpussy,0.72,85.71%,6,7,1,0,0,2,2,-1,2,,,,,,,,,,,0,1,2,1,0,3,,,--,"1,203",11
97,135,SWE,1,SWE_1,R,Fontana,-1.02,-14.29%,-1,7,0,0,-1,0,-2,2,0,,,,,,,,,,,1,1,4,0,0,1,,,--,428,116
49,135,SWE,1,SWE_1,E,Vanity Vain,-1.02,-14.29%,-1,7,0,-2,2,-1,1,1,-2,,,,,,,,,,,2,1,1,2,0,1,,,--,428,116
